year,w,l,t,sow,num_teams,pct_tie
1996,64,64,0,16,10,20
1996,62,62,0,18,10,22.5
1997,58,58,0,22,10,27.5
1997,69,69,0,11,10,13.75
1998,63,63,0,9,12,12.5
1998,96,96,0,24,12,20
1999,54,54,0,18,12,25
1999,81,81,0,39,12,32.5
2000,98,98,22,0,12,18.33333
2000,60,60,12,0,12,16.66667
2001,76,76,18,0,12,19.14894
2001,54,54,10,0,12,15.625
2002,52,52,8,0,10,13.33333
2002,66,66,14,0,10,17.5
2003,49,49,21,0,10,30
2003,60,60,20,0,10,25
2004,51,51,19,0,10,27.14286
2004,53,53,27,0,10,33.75
2005,56,56,16,0,12,22.22222
2005,92,92,28,0,12,23.33333
2006,51,51,21,0,12,29.16667
2006,85,85,35,0,12,29.16667
2007,58,58,26,0,13,30.95238
2007,87,87,24,0,13,21.62162
2008,78,78,20,0,14,20.40816
2008,75,75,37,0,14,33.03571
2009,82,82,30,0,15,26.78572
2009,74,74,39,0,15,34.51328
2010,95,95,33,0,16,25.78125
2010,87,87,25,0,16,22.32143
2011,104,104,58,0,18,35.80247
2011,96,96,48,0,18,33.33333
2012,67,67,23,0,19,25.55556
2012,179,179,54,0,19,23.17597
