year,num_teams,gp,w,l,t,sow,goals,pct_tie,gpg,pct_tie_reg
1996,10,160,126,126,34,34,539,21.25,3.36875,21.25
1997,10,160,127,127,33,33,522,20.625,3.2625,20.625
1998,12,192,159,159,33,33,685,17.1875,3.567708,17.1875
1999,12,192,135,135,57,57,549,29.6875,2.859375,29.6875
2000,12,192,158,158,34,0,612,17.70833,3.1875,24.47917
2001,12,158,130,130,28,0,519,17.72152,3.28481,22.78481
2002,10,140,118,118,22,0,421,15.71429,3.007143,25.71429
2003,10,150,109,109,41,0,433,27.33333,2.886667,32.66667
2004,10,150,104,104,46,0,392,30.66667,2.613333,30.66667
2005,12,192,148,148,44,0,551,22.91667,2.869792,22.91667
2006,12,192,136,136,56,0,503,29.16667,2.619792,29.16667
2007,13,195,145,145,50,0,518,25.64103,2.65641,25.64103
2008,14,210,153,153,57,0,591,27.14286,2.814286,27.14286
2009,15,225,156,156,69,0,571,30.66667,2.537778,30.66667
2010,16,240,182,182,58,0,591,24.16667,2.4625,24.16667
2011,18,306,200,200,106,0,791,34.64052,2.584967,34.64052
2012,19,323,246,246,77,0,854,23.83901,2.643963,23.83901
2013,19,323,241,241,82,0,845,25.3869969,2.616099071,25.3869969
2014,19,323,234,234,89,0,924,27.55417957,2.860681115,27.55417957
